intent,example
intent_core_capabilities,How can you help me?
intent_core_capabilities,Help me
intent_core_capabilities,I need help
intent_core_capabilities,What can you do?
intent_core_capabilities,What do you do?
intent_core_capabilities,What kind of things can you do?
intent_core_capabilities,What are some examples of things you can do?
intent_core_capabilities,What services can you help me with?
intent_core_capabilities,What products can you assist me with?
intent_core_capabilities,Show me what kind of things can you do
intent_core_capabilities,Show me what do you do
intent_core_capabilities,Show me what can you help me with
intent_core_capabilities,Show me what you can do
intent_core_capabilities,What are you able to do?
intent_core_capabilities,What are you capable of doing?
intent_core_capabilities,How can you help?
intent_core_capabilities,What do I do?
intent_core_capabilities,Tell me about you
intent_core_capabilities,Tell me about yourself
intent_core_capabilities,Tell me what you can do
intent_core_capabilities,What are your capabilities?
intent_core_capabilities,What are your abilities?
intent_core_capabilities,What capabilities do you have?
intent_core_capabilities,What abilities do you have?
intent_core_capabilities,What are my options?
intent_core_capabilities,What are the options?
intent_core_yes,yes
intent_core_yes,yeah
intent_core_yes,of course
intent_core_yes,for sure
intent_core_yes,yep
intent_core_yes,yup
intent_core_yes,y
intent_core_no,n
intent_core_no,nah
intent_core_no,no
intent_core_no,i don't think so
intent_core_no,nay
intent_core_no,nvm
intent_core_other,other
intent_core_other,something else
intent_core_other,a different one
intent_core_hello,Hi
intent_core_hello,hello
intent_core_hello,what's up
intent_core_hello,sup
intent_core_hello,hey
intent_core_hello,greetings
intent_core_hello,afternoon
intent_core_hello,yo
intent_core_hello,salutations
intent_core_hello,hello world
intent_core_hello,hola
intent_core_hello,happy day
intent_core_hello,good morning
intent_core_hello,good evening
intent_core_hello,good afternoon
intent_core_hello,how are you?
intent_core_hello,how are you doing?
intent_core_hello,how's it going?
intent_core_hello,how are ya?
intent_core_hello,hello robert
intent_core_hello,hello robot
intent_core_hello,"hello, whats your name?"
intent_core_hello,good morning!
intent_core_hello,Sup robot
intent_core_hello,Hello assistat
intent_planned_features,What's my burndown?
intent_planned_features,What's my committed spend?
intent_planned_features,Have I met my commitment for this year?
intent_planned_features,Whats my yearly spend?
intent_planned_features,What's my Openshift cluster spend?
intent_planned_features,How much am I spending on Openshift clusters?
intent_planned_features,Show me how much I'm spending on Openshift?
intent_planned_features,How much did my organization spend this month?
intent_planned_features,Show this month's spending
intent_planned_features,How much is my line of business spending?
intent_planned_features,Show me spending by product
intent_planned_features,Create a cost report
intent_planned_features,Create a report about my spending
intent_out_of_scope,Who came up with the Red Hat?
intent_out_of_scope,What are all the products Red Hat makes?
intent_out_of_scope,What products do you make?
intent_out_of_scope,Who started Red Hat?
intent_out_of_scope,when was red hat founded?
intent_unknown_topic,Tell me a joke
intent_unknown_topic,Do you like fish?
intent_unknown_topic,do you like pina coladas?
intent_unknown_topic,do you like iphones?
intent_unknown_topic,do you like pinball?
intent_unknown_topic,do you like pizza?
intent_unknown_topic,do you like union oil?
intent_unknown_topic,do you like the color blue?
intent_unknown_topic,What headphones do you recommend?
intent_unknown_topic,What pair of shoes do you recommend?
intent_unknown_topic,what iphone do you recommend?
intent_unknown_topic,what wedding planners do you recommend?
intent_unknown_topic,How good are you at math?
intent_unknown_topic,Can you do math for me?
intent_unknown_topic,What's my name
intent_unknown_topic,are you a replicant
intent_unknown_topic,where is my protected
intent_unknown_topic,are we in matrix
intent_unknown_topic,do you hate anyone
intent_unknown_topic,are you single
intent_unknown_topic,am I annoying you
intent_unknown_topic,what's the weather?
intent_live_chat,speak to agent
intent_live_chat,agent
intent_live_chat,human
intent_live_chat,person
intent_live_chat,support agent
intent_live_chat,support tech
intent_live_chat,support engineer
intent_live_chat,I want to talk to a human
intent_live_chat,I need an agent
intent_live_chat,Can you take me to a person?
intent_live_chat,Do you offer live chat?
intent_live_chat,Do you support live chat?
intent_live_chat,Can I speak to an agent?
intent_live_chat,Where can I find an agent?
intent_live_chat,Give me a damn human being!!
intent_live_chat,is this chat live?
intent_live_chat,can you have a real time conversatoin
intent_live_chat,do you have tech support
intent_live_chat,can i talk to a technical support agent
intent_support,support case
intent_support,can I speak to support?
intent_support,urgent help needed
intent_support,i have an urgent issue and need support
intent_support,urgent bug
intent_support,i need help with an urgent issue
intent_support,i have to make a support request
intent_support,Open a support case
intent_support,Open a case for me
intent_support,I want to open a support case
intent_support,I want to open a case
intent_services_offline,Are there any outages?
intent_services_offline,Are any services down?
intent_services_offline,Are there any products down?
intent_services_offline,What services are offline?
intent_services_offline,Is service [access.redhat.com](product) down?
intent_services_offline,Is [console.redhat.com](product) down?
intent_services_offline,Is something wrong with [cloud.redhat.com](product)?
intent_services_offline,Is [developers.redhat.com](product) having issues?
intent_services_offline,Is [insights](product) having issues?
intent_services_offline,Is [inventory](product) having an outage?
intent_services_offline,outages
intent_services_offline,where can i view outages
intent_services_offline,report an outage
intent_services_offline,see current outages
intent_services_offline,it's down
intent_services_offline,where can i see what systems are down
intent_services_offline,what's the site for viewing outages
intent_services_offline,report a service offline
intent_data_privacy_policy,Are you watching my conversations?
intent_data_privacy_policy,How are you using my data?
intent_data_privacy_policy,Who is getting my data?
intent_data_privacy_policy,What is your privacy policy?
intent_data_privacy_policy,How is my privacy protected?
intent_data_privacy_policy,Are you collecting PII (Personally Identifiable Information)?
